Source Name,Bias,Agree,Disagree,Ratio
ABC News,left-center,4602,4215,1.091814946619217
Al Jazeera,center,399,532,0.75
American Spectator,right,2763,1041,2.654178674351585
Associated Press,center,2814,1629,1.7274401473296501
BBC News,center,4271,3526,1.2112875779920589
Bloomberg,center,2322,2341,0.9918838103374626
Breitbart News,right,7998,4445,1.7993250843644544
Buzzfeed,left-center,1832,2200,0.8327272727272728
CBN,right,2829,1505,1.879734219269103
CBS News,left-center,2288,2248,1.0177935943060499
CNN (Web News),center,16698,17058,0.9788955328877946
CNN - Editorial,left,152,76,2.0
Chicago Tribune,center,815,1249,0.6525220176140912
Christian Science Monitor,center,4839,6665,0.7260315078769692
Cook Report,center,510,283,1.802120141342756
Daily Beast,center,2575,2631,0.9787153173698213
Daily Kos,left,1908,775,2.4619354838709677
Democracy Now,left,2131,971,2.194644696189495
FactCheck.org,center,2800,1843,1.519262072707542
Fiscal Times,right-center,435,330,1.3181818181818181
FiveThirtyEight,center,1742,885,1.968361581920904
Forbes,center,1121,849,1.32037691401649
Foreign Affairs,center,325,196,1.6581632653061225
Fox News,right-center,12598,18626,0.6763663695908945
How Do We Fix It?,center,363,386,0.9404145077720207
HuffPost,left,11080,14066,0.7877150575856676
Independent Journal Review,right-center,760,653,1.1638591117917305
Judicial Watch,right-center,566,594,0.9528619528619529
Los Angeles Times,left-center,1850,1557,1.1881824020552345
Media Matters,left,1338,876,1.5273972602739727
Media Research Center,right,763,875,0.872
Mediaite,left-center,328,355,0.923943661971831
Mother Jones,left,1848,440,4.2
NBCNews.com,left-center,1719,2294,0.7493461203138623
NPR Editorial ,left-center,44,39,1.1282051282051282
NPR News,center,11503,7353,1.5643954848361212
National Journal,center,634,462,1.3722943722943723
National Review,right,3922,1855,2.1142857142857143
New Republic,left,682,423,1.612293144208038
New York Post,right,1209,858,1.4090909090909092
New York Times,left-center,9015,15844,0.5689851047715223
Newsmax,right,3937,5532,0.7116775126536515
Newsweek,left-center,783,966,0.8105590062111802
Politico,center,8399,14044,0.5980489888920536
RealClearPolitics,center,1216,978,1.243353783231084
Reason,right-center,2379,1611,1.4767225325884543
Reuters,center,2376,1379,1.722987672226251
Salon,left,6434,3085,2.085575364667747
Slate,left-center,1064,1100,0.9672727272727273
The Atlantic,left-center,1336,955,1.3989528795811519
The Daily Caller,right-center,1184,980,1.2081632653061225
The Federalist,right-center,750,550,1.3636363636363635
The Hill,center,3143,3489,0.9008311837202637
The Libertarian Republic,right-center,331,308,1.0746753246753247
The Weekly Standard,right,625,350,1.7857142857142858
TheBlaze.com,right,7420,3790,1.95778364116095
ThinkProgress,left,1113,415,2.6819277108433734
Time Magazine,left,1590,1602,0.9925093632958801
Townhall,right,5777,9712,0.594831136738056
U.S. News & World Report,left-center,534,658,0.8115501519756839
USA TODAY,center,7505,5069,1.4805681594002762
Vox,left-center,4764,7372,0.6462289744981009
Wall Street Journal- Editorial,right,2164,1785,1.2123249299719887
Wall Street Journal- News,center,7123,11939,0.5966161320043555
Washington Examiner,right,1184,662,1.7885196374622356
Washington Post,left-center,16140,9392,1.7184838160136287
Washington Times,right-center,14512,7243,2.003589672787519
Watchdog.org,right-center,288,298,0.9664429530201343
Western Journalism,right,492,175,2.8114285714285714
