Yes ,Yes ,Very ,Very 
Yes ,Yes ,Not ,Not 
Yes ,Yes ,Very,Somewhat
Yes ,Yes,Very,Not 
Yes ,Yes ,Somewhat ,Not Sure
Yes ,Yes ,Very,Not 
Yes ,Yes ,Very,Not
Yes,No,Somewhat ,Not Sure
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Somewhat
No,Yes ,Somewhat ,Somewhat
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Very
No,No,Not sure,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Not,Not
Yes ,Yes ,Somewhat ,Somewhat
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Very
No,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Not
Yes ,Yes ,Somewhat ,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Somewhat 
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Somewhat
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Somewhat ,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Not,Not
Yes ,Yes ,Somewhat ,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Somewhat ,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Somewhat
Yes ,No,Somewhat ,Very
Yes ,No,Not,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Somewhat
Yes ,Yes ,Very,Not
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Very
Yes ,Yes ,Very,Somewhat
