YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,NO,SOMEWHAT,SOMEWHAT
YES,YES,VERY,SOMEWHAT
NO,YES,SOMEWHAT,SOMEWHAT
YES,YES,NOT,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,NOT,NOT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,VERY
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,NOT,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
NO,YES,SOMEWHAT,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,NOT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,NOT,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,NOT
YES,YES,NOT SURE,NOT SURE
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,NOT,NOT
YES,YES,VERY,SOMEWHAT
YES,YES,SOMEWHAT,SOMEWHAT
YES,YES,VERY,NOT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,SOMEWHAT
YES,YES,VERY,VERY
YES,YES,VERY,NOT
YES,YES,VERY,NOT
YES,YES,VERY,VERY
YES,YES,VERY,SOMEWHAT
